kode_prov,kode_kab,kode,nama_pemda,tkdd_pendapatan,tkdd_belanja,perubahan_apbd
35,18,3518,NGANJUK,"61,57%","56,95%","-6,77%"
71,71,7171,KOTA MANADO,"61,48%","53,88%","-25,50%"
35,17,3517,JOMBANG,"61,42%","57,63%","-100,00%"
33,15,3315,GROBOGAN,"61,36%","61,31%","-11,31%"
33,71,3371,KOTA MAGELANG,"61,25%","56,60%","-16,61%"
52,8,5208,LOMBOK UTARA,"61,20%","59,15%","-24,38%"
33,76,3376,KOTA TEGAL,"61,02%","54,08%","-16,69%"
11,75,1175,KOTA SUBULUSSALAM,"60,91%","60,63%","-24,73%"
36,2,3602,LEBAK,"60,75%","60,39%","-7,02%"
33,5,3305,KEBUMEN,"60,74%","57,63%","-11,23%"
32,12,3212,INDRAMAYU,"60,69%","61,07%","-17,71%"
33,73,3373,KOTA SALATIGA,"60,54%","58,21%","-11,65%"
35,7,3507,MALANG,"60,50%","56,75%","-100,00%"
33,18,3318,PATI,"60,45%","58,08%","-5,62%"
11,17,1117,BENER MERIAH,"60,42%","60,42%","-31,37%"
53,15,5315,MANGGARAI BARAT,"60,37%","58,83%","-16,37%"
33,20,3320,JEPARA,"60,28%","57,35%","-19,31%"
34,2,3402,BANTUL,"60,23%","56,31%","-28,55%"
33,29,3329,BREBES,"60,22%","57,61%","-10,21%"
92,71,9271,KOTA SORONG,"60,02%","68,54%","-100,00%"
34,1,3401,KULON PROGO,"60,01%","60,15%","-22,70%"
32,72,3272,KOTA SUKABUMI,"59,83%","58,12%","-8,71%"
33,6,3306,PURWOREJO,"59,74%","55,28%","-16,91%"
21,2,2102,KARIMUN,"59,61%","54,99%","-100,00%"
74,71,7471,KOTA KENDARI,"59,60%","58,78%","-22,56%"
33,1,3301,CILACAP,"59,40%","56,19%","-15,59%"
72,6,7206,MOROWALI,"59,14%","59,05%","-12,52%"
33,17,3317,REMBANG,"59,13%","56,94%","-18,86%"
11,16,1116,ACEH TAMIANG,"59,11%","58,60%","-30,71%"
33,24,3324,KENDAL,"59,08%","56,40%","-9,90%"
33,22,3322,SEMARANG,"59,04%","56,82%","-13,86%"
11,15,1115,NAGAN RAYA,"58,95%","57,58%","-32,81%"
92,6,9206,TELUK BINTUNI,"58,84%","51,55%","-23,55%"
32,2,3202,SUKABUMI,"58,78%","57,37%","-7,37%"
33,19,3319,KUDUS,"58,71%","55,61%","1,75%"
64,1,6401,PASER,"58,62%","54,86%","-26,85%"
11,14,1114,ACEH JAYA,"58,57%","57,56%","-32,88%"
51,1,5101,JEMBRANA,"58,46%","57,05%","-22,77%"
52,71,5271,KOTA MATARAM,"58,26%","57,47%","-34,29%"
32,17,3217,BANDUNG BARAT,"58,12%","50,04%","6,73%"
33,26,3326,PEKALONGAN,"58,07%","55,04%","-12,38%"
33,8,3308,MAGELANG,"57,97%","56,00%","-100,00%"
35,23,3523,TUBAN,"57,93%","55,87%","-16,23%"
74,2,7402,KONAWE,"57,72%","60,74%",#DIV/0!
32,9,3209,CIREBON,"57,60%","56,86%","11,29%"
51,5,5105,KLUNGKUNG,"57,57%","53,06%","-28,06%"
33,28,3328,TEGAL,"57,50%","57,16%","-14,11%"
51,8,5108,BULELENG,"57,46%","56,81%",#DIV/0!
13,71,1371,KOTA PADANG,"57,39%","56,16%","-19,37%"
33,2,3302,BANYUMAS,"57,36%","54,67%","-12,27%"
92,2,9202,MANOKWARI,"57,25%","54,95%","-100,00%"
35,16,3516,MOJOKERTO,"57,06%","54,97%","-9,67%"
35,14,3514,PASURUAN,"56,89%","52,76%","-12,46%"
33,21,3321,DEMAK,"56,87%","54,92%","-9,10%"
33,72,3372,KOTA SURAKARTA,"56,86%","54,45%","-8,16%"
11,18,1118,PIDIE JAYA,"56,72%","56,72%","-100,00%"
73,24,7324,LUWU TIMUR,"56,60%","54,79%","-21,84%"
32,4,3204,BANDUNG,"56,32%","49,74%","-4,99%"
32,77,3277,KOTA CIMAHI,"56,20%","53,22%","-11,39%"
51,2,5102,TABANAN,"55,49%","53,83%","-24,48%"
35,24,3524,LAMONGAN,"55,46%","55,07%","-6,12%"
32,14,3214,PURWAKARTA,"54,98%","53,67%","-3,59%"
36,4,3604,SERANG,"54,72%","52,36%","-100,00%"
14,71,1471,KOTA PEKANBARU,"54,24%","54,20%","-100,00%"
35,73,3573,KOTA MALANG,"53,47%","44,79%","-11,08%"
61,71,6171,KOTA PONTIANAK,"53,23%","51,80%","-17,60%"
12,7,1207,DELI SERDANG,"52,40%","52,05%","-0,45%"
15,8,1508,BUNGO,"51,05%","51,10%","-7,81%"
32,74,3274,KOTA CIREBON,"50,22%","49,06%","-12,51%"
34,4,3404,SLEMAN,"50,18%","47,83%","-18,70%"
64,71,6471,KOTA BALIKPAPAN,"49,79%","46,73%","-25,07%"
32,10,3210,MAJALENGKA,"49,48%","48,81%","-7,44%"
64,72,6472,KOTA SAMARINDA,"49,24%","47,46%","-19,73%"
18,71,1871,KOTA BANDAR LAMPUNG,"48,37%","49,64%","-9,46%"
34,71,3471,KOTA YOGYAKARTA,"48,20%","45,47%","-16,30%"
36,72,3672,KOTA CILEGON,"48,12%","43,81%","-20,66%"
32,15,3215,KARAWANG,"47,48%","46,93%","-7,59%"
16,71,1671,KOTA PALEMBANG,"45,24%","44,90%","12,98%"
73,71,7371,KOTA MAKASSAR,"44,76%","43,92%","-15,66%"
35,25,3525,GRESIK,"43,88%","41,99%","-100,00%"
32,71,3271,KOTA BOGOR,"43,32%","40,49%","-3,11%"
51,71,5171,KOTA DENPASAR,"41,06%","37,43%","-22,20%"
35,15,3515,SIDOARJO,"40,52%","34,26%","-9,81%"
12,71,1271,KOTA MEDAN,"38,08%","37,53%","-19,55%"
21,71,2171,KOTA BATAM,"37,93%","37,24%","-30,30%"
51,4,5104,GIANYAR,"37,42%","31,38%","-26,35%"
32,73,3273,KOTA BANDUNG,"35,77%","33,07%","-7,51%"
33,74,3374,KOTA SEMARANG,"35,64%","34,54%","-24,30%"
32,76,3276,KOTA DEPOK,"34,60%","29,43%","-6,95%"
32,1,3201,BOGOR,"33,97%","29,92%","-0,34%"
32,16,3216,BEKASI,"33,07%","29,77%","-5,50%"
36,3,3603,TANGERANG,"31,24%","28,75%","-17,36%"
36,71,3671,KOTA TANGERANG,"29,79%","26,43%","-27,80%"
32,75,3275,KOTA BEKASI,"28,54%","28,66%","-13,71%"
36,74,3674,KOTA TANGERANG SELATAN,"24,99%","22,58%","-20,77%"
35,78,3578,KOTA SURABAYA,"24,95%","21,96%","-14,28%"
35,10,3510,BANYUWANGI,"14,31%","14,16%",#DIV/0!
51,3,5103,BADUNG,"9,53%","9,53%","-34,07%"
